Senyawa,smiles
Amarogentin,OC[C@H]1O[C@@H](O[C@@H]2OC=C3[C@@H](CCOC3=O)[C@H]2C=C)[C@H](OC(=O)c4c(O)cc(O)cc4c5cccc(O)c5)[C@@H](O)[C@@H]1O
Amentoflavone,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)c(c3O2)c4cc(ccc4O)C5=CC(=O)c6c(O)cc(O)cc6O5
Amentovlavone,Did not work
Americanin,Did not work
Amigdalin,Did not work
Amino Acid,Did not work
Amino Acid Acetate,Did not work
Ammiol,COc1c2occc2c(OC)c3C(=O)C=C(CO)Oc13
Ampelopsin,O[C@@H]1[C@H](Oc2cc(O)cc(O)c2C1=O)c3cc(O)c(O)c(O)c3
Amygdalin,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O[C@@H](C#N)c3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
Amygdalin-Hydrolysing Enzyme,Did not work
Anacardic acid,CCCCCCCCCCCCCCCc1cccc(O)c1C(O)=O
Anacyclin,CCCC#CC#CCC/C=C/C=C/C(=O)NCC(C)C
Anadoline,Did not work
Anagyrine,O=C1C=CC=C2[C@H]3C[C@H](CN12)[C@H]4CCCCN4C3
Anatabine,C1N[C@@H](CC=C1)c2cccnc2
Anatalline,C1CC(CC(N1)c2cccnc2)c3cccnc3
Ancistrocladeine,Did not work
Ancistrocladinine,COc1cccc2c1c(OC)cc(C)c2c3c(O)cc(OC)c4C(=[N+](C)C(C)Cc34)C
Ancistrocline,COc1cccc2c1c(OC)cc(C)c2c3c(O)cc(OC)c4C(C)N(C)C(C)Cc34
Ancistrotectoriline A,Did not work
Ancistrotectoriline B,Did not work
Ancistrotectorine,COc1cccc2cc(C)c(c(O)c12)c3c(OC)cc4C[C@H](C)N(C)[C@H](C)c4c3OC
Andalasin A,Did not work
Andinermal A,COc1cc(O)c2c(oc(c2C=O)c3ccc(OC)c(O)c3OC)c1
Andinermal C,Did not work
Andinermol,Did not work
Andirol A,Did not work
Andirol B,Did not work
Andrograpanin,Did not work
Andrographidin A,Did not work
Andrographolide,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H](C\C=C3/[C@H](O)COC3=O)C(=C)CC[C@H]12
Anethole,COc1ccc(C=CC)cc1
Angelicide,CCC\C=C1/OC(=O)C2=C1CCC3C(CCC)C4(OC(=O)C5=C4CCC=C5)C23
Angelicone ,COc1cc(OC)c(C(=O)C=C(C)C)c2OC(=O)C=Cc12
Angelol G,Did not work
Angeloside,Did not work
Angeloylingenol,Did not work
Angolensin,COc1ccc(cc1)C(C)C(=O)c2ccc(O)cc2O
Angustilocine,Did not work
Anhydroglycinol,Oc1ccc2c(OCc3c2oc4cc(O)ccc34)c1
Anhydropisatin,Did not work
Anhydrosafflor yellow B,Did not work
Anigorufone,OC1=Cc2cccc3ccc(c4ccccc4)c(C1=O)c23
Anisatin,C[C@@H]1C[C@@H](O)[C@@]2(O)[C@@]13C[C@@H](OC(=O)[C@@H]3O)[C@](C)(O)[C@@]24COC4=O
Anisocoumarin J,Did not work
Anisofolin A,Did not work
Anisotine,CNc1ccc(cc1C(=O)OC)C2CCN3C(=O)c4ccccc4N=C23
Annocherimolin,Did not work
Annocherin,Did not work
Annomolin,Did not work
Annomolon A,Did not work
Annomolon B,Did not work
Annuloline,COc1ccc(cc1)c2oc(/C=C/c3ccc(OC)c(OC)c3)nc2
Anofinic acid,CC1(C)Oc2ccc(cc2C=C1)C(O)=O
Anonaine,C1Cc2cc3OCOc3c4c5ccccc5C[C@@H](N1)c24
Antheraxanthin,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@]23O[C@]2(C)C[C@@H](O)CC3(C)C)C(C)(C)C[C@H](O)C1
Anthocyanin,c1ccc(cc1)c2ccc3ccccc3[o+]2
Anthocyanins,Did not work
"Anthragallol 1,3-dimethyl ether",Did not work
Anthragallol 2-methyl ether,Did not work
Anthraquinone,O=C1c2ccccc2C(=O)c3ccccc13
Anthrasesamone A,Did not work
Anthrasesamone B,Did not work
Anthrasesamone C,CC(C)=CCCc1c(O)c2C(=O)c3ccccc3C(=O)c2c(O)c1Cl
Antiarigenin-3-O-beta-D-6-deoxy-alloside,Did not work
Antiarojavoside,Did not work
Antiarone A,Did not work
Antiarone B,Did not work
Antiarone C,Did not work
Antiarone D,Did not work
Antiarone E,Did not work
Antiarone J,Did not work
Antiarone K,Did not work
Antihistamines,Did not work
Antioside,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4C[C@@H](O)[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C6=CC(=O)OC6)[C@H](O)[C@H](O)[C@H]1O
Antistin,C1CN=C(CN(Cc2ccccc2)c3ccccc3)N1
Antofine,Did not work
Aoibaclyin,Did not work
Aphanamol I,Did not work
Aphloiol,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc3Oc4cc(O)c(O)cc4C(=O)c3c2O
Apiferol,Did not work
Apigenin,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2
Apigenin 4'-(2''-feruloylglucuronosyl)-(1->2)-glucuronide,Did not work
"Apigenin 5,7,4'-trimethyl ether",Did not work
"Apigenin 5,7-dimethyl ether 4'-galactoside",Did not work
"Apigenin 7,4'-dimethyl ether",COc1ccc(cc1)C2=CC(=O)c3c(O)cc(OC)cc3O2
"Apigenin 7-(2'',6''-di-p-coumarylglucoside)",Did not work
Apigenin 7-(2''-glucosyllactate),Did not work
Apigenin 7-(2''-glucuronosyllactate),Did not work
"Apigenin 7-(4'',6''-di-p-coumarylglucoside)",Did not work
Apigenin 7-(6''-p-coumarylglucoside),Did not work
Apigenin 7-Glucosyl-(1->2)-glucuronide-4'-glucuronide,Did not work
Apigenin 7-glucuronide-4'-(2'''-E-p-coumaroylglucuronosyl)-(1->2)-glucuronide,Did not work
Apigenin 7-Glucuronosyl-(1->3)-[2''-p-coumaroylglucuronosyl)-(1->2)-glucuronide],Did not work
Apigenin 7-lactate,Did not work
Apigenin 7-O-(6''-O-p-coumaroylglucoside),Did not work
Apigenin 7-O-beta-D-glucopyranosyl (1->6)-beta-D-glucopyranoside,Did not work
Apigenin 7-O-rutinoside,Did not work
Apiin,OC[C@H]1O[C@@H](Oc2cc(O)c3C(=O)C=C(Oc3c2)c4ccc(O)cc4)[C@H](O[C@@H]5OC[C@](O)(CO)[C@H]5O)[C@@H](O)[C@@H]1O
Apiol,COc1cc(CC=C)c(OC)c2OCOc12
Apo-10'-zeaxanthinal,Did not work
Apo-11-zeaxanthinal,Did not work
Apo-12'-capsorubinal,Did not work
Apo-12'-zeaxanthinal,Did not work
Apo-13-zeaxanthinone,Did not work
Apo-14'-zeaxanthinal,Did not work
Apo-15-zeaxanthinal,Did not work
Apo-8'-capsorubinal,Did not work
Apo-9-zeaxanthinone,Did not work
Apoatropine,CN1C2CCC1CC(C2)OC(=O)C(=C)c3ccccc3
Apocynoside I,Did not work
Apohyoscine,CN1C2CC(CC1[C@@H]3O[C@H]23)OC(=O)C(=C)c4ccccc4
Arabanoxylan,Did not work
Arabinose,OC[C@@H](O)[C@@H](O)[C@H](O)C=O
Arabinoxylan,Did not work
Arabinoxylans,Did not work
Arachidic,Did not work
Arachidic acid,CCCCCCCCCCCCCCCCCCCC(O)=O
Arborside A,Did not work
Arborside B,Did not work
Arborside C,Did not work
Arbortristoside D,Did not work
Arbortristoside E,Did not work
Arbutin,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O
Ardisiphenol A,Did not work
Ardisiphenol B,Did not work
Ardisiphenol C,Did not work
Arecaidine,CN1CCC=C(C1)C(O)=O
Arecatamnin A1,Did not work
Arecatannin  B1,Did not work
Arecatannin A1,Did not work
Arecatannin A2,Did not work
Arecatannin B1,Did not work
Arecoline,COC(=O)C1=CCCN(C)C1
Arginin,N[C@@H](CCCNC(N)=N)C(O)=O
Aristelegin A,Did not work
Aristelegin B,Did not work
Aristelegin C,Did not work
Aristelegone A,Did not work
Aristelegone B,Did not work
Aristelegone C,Did not work
Aristelegone D,Did not work
Aristogin A,Did not work
Aristogin B,Did not work
Aristogin C,Did not work
Aristogin D,Did not work
Aristogin E,Did not work
Aristolactam AIIIa,Did not work
Aristolactam C N-beta-D-glucoside,Did not work
Aristolactam E,Did not work
Aristolin,Did not work
Aristolindiquinone,Cc1ccc(O)c2C(=C(C)C(=O)C(=O)c12)O
Aristolochic acid I,COc1cccc2c1cc(c3c(cc4OCOc4c23)C(O)=O)[N+]([O-])=O
Aristolochic acid Ia methyl ester,Did not work
Aristolochic acid IVa,Did not work
Aristololactam A II,Did not work
Aristoloside,COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc3c1cc(c4c(cc5OCOc5c34)C(O)=O)[N+]([O-])=O
Aristophyll A,Did not work
Aristophyll B,Did not work
Aristoquinoline A,Did not work
Aristoquinoline B,Did not work
Aristoquinoline C,Did not work
Arjunetin,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]3(C)CCC5C(C)(C)[C@H](O)[C@@H](O)C[C@]45CO)[C@H]2C1)C(=O)O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O
Arjungenin,Did not work
Arjunglucoside I,Did not work
Arjunglucoside II,Did not work
Arjunic acid,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@H]4[C@@]3(C)CCC5C(C)(C)[C@@H](O)[C@H](O)C[C@]45CO)[C@H]2C1)C(O)=O
Arjunolic Acid,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O
Armepavine,COc1cc2CCN(C)[C@H](Cc3ccc(O)cc3)c2cc1OC
Arnidiol,C[C@H]1[C@H]2[C@H]3CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@H](O)[C@@]2(C)CCC1=C
Arnottianamide,COc1ccc(c(O)c1OC)c2ccc3cc4OCOc4cc3c2N(C)C=O
"Aromadendrane-4beta,10beta-diol",Did not work
Aromadendrene,CC1CCC2C1C3C(CCC2=C)C3(C)C
Aromadendrin 3-galactoside,Did not work
Aromadendrin 4'-xyloside,Did not work
Artecanin,C[C@@]1(O)CC[C@@H]2[C@H](OC(=O)C2=C)[C@H]3[C@@]4(C)O[C@H]4[C@H]5O[C@@]135
Arteglasin A,CC(=O)O[C@H]1CC(=C2C[C@H]3O[C@@]3(C)[C@@H]2[C@H]4OC(=O)C(=C)[C@H]14)C
Artemetin,COc1ccc(cc1OC)C2=C(OC)C(=O)c3c(O)c(OC)c(OC)cc3O2
Artemetin 5-glucosyl-(1->4)-rhamnoside,Did not work
Artesin,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
Artobiloxanthone,Did not work
Artocarpanone,Did not work
Artocarpesin,CC(C)=CCc1c(O)cc2OC(=CC(=O)c2c1O)c3ccc(O)cc3O
Artocarpetin,Did not work
Artocarpetin B,Did not work
Artocarpin,COc1cc2OC(=C(CC=C(C)C)C(=O)c2c(O)c1/C=C/C(C)C)c3ccc(O)cc3O
Artocarpone A,Did not work
Artocarpone B,Did not work
Artochamin B,Did not work
Artochamin D,Did not work
Artocommunol CA,Did not work
Artocommunol CB,CC(C)=CCC/C(C)=C/CC1=C(Oc2c3C=CC(C)(C)Oc3c(CC=C(C)C)c(O)c2C1=O)c4ccc(O)cc4O
Artocommunol CC,Did not work
Artocommunol CD,Did not work
Artocommunol CE,Did not work
Artoindonesianin A,Did not work
Artoindonesianin A2,Did not work
Artoindonesianin B,Did not work
Artoindonesianin D,Did not work
Artoindonesianin E,Did not work
Artoindonesianin F,Did not work
Artoindonesianin L,Did not work
Artoindonesianin Q,COc1cc(O)c2C(=O)C(=C(Oc2c1)c3cc(O)c(OC)cc3O)CC=C(C)C
Artoindonesianin R,COc1cc(OC)c(cc1O)C2=C(CC=C(C)C)C(=O)c3c(O)cc(O)cc3O2
Artoindonesianin S,COc1cc(O)c2C(=O)C3=C(Oc2c1)c4c(O)cc(OC)c(O)c4C(C3)C(C)=C
Artoindonesianin T,COc1cc(O)c2C3=C(CC(C(C)=C)c2c1O)C(=O)c4c(O)cc(O)cc4O3
Artoindonesianin U,Did not work
Artoindonesianin V,Did not work
Artomunoflavanone,Did not work
Artomunoisoxanthone,Did not work
Artomunoxanthentrione,Did not work
Artomunoxanthone,Did not work
Artonin A,Did not work
Artonin B,Did not work
Artonin C,Did not work
Artonin D,Did not work
Artonin E,CC(C)=CCC1=C(Oc2c3C=CC(C)(C)Oc3cc(O)c2C1=O)c4cc(O)c(O)cc4O
Artonin F,Did not work
Artonin I,Did not work
Artonin J,Did not work
Artonin K,Did not work
Artonin L,Did not work
Artonin M,Did not work
Artonin N,Did not work
Artonin O,Did not work
Artonin P,Did not work
Artonin S,Did not work
Artonin T,Did not work
Artonin U,Did not work
Artonin X,Did not work
Artonol B,Did not work
Artonol C,Did not work
Artonol D,Did not work
Artonol E,Did not work
Arundin,Did not work
Arvelexin,Did not work
Arvenin I,CC(=O)OC(C)(C)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
Arvenin III,Did not work
Asam Amino Organacid,Did not work
"Asam Amino Sitrullin [C6 ,H13, N3 O3]",Did not work
Asam barbatin,Did not work
Asam barbatolat,Did not work
Asam euforbinat,Did not work
Asam Format,Did not work
Asam Formik,Did not work
Asam Hidrosianat,Did not work
Asam kinat,Did not work
Asam kinatanat,Did not work
Asam Oleanolat,Did not work
Asam Orange,Did not work
Asam Organik,Did not work
Asam Palmitate,Did not work
Asam Queretaroat,Did not work
Asam Serratogenat,Did not work
Asam Tridekanoat,Did not work
Asam Undekanoat,Did not work
Asam usnetin,Did not work
Asarone,COc1cc(OC)c(\C=C/C)cc1OC
Asebogenin,COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(O)c1
Ashwagandhanolide,Did not work
Asiatic acid,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2[C@H]1C)C(O)=O
Asiaticoside,CC1CC(C2CCC3(C)C4CCC5C(C)(CO)C(O)C(O)CC5(C)C4(C)CC=C3C2C1C)C(=O)OC6OC(COC7OC(CO)C(OC8OC(C)C(O)C(O)C8O)C(O)C7O)C(O)C(O)C6O
Asimicin,CCCCCCCCCCC(O)[C@H]1CCC(O1)C2CC[C@@H](O2)[C@H](O)CCCCCCCCCCC(O)CC3=CC(C)OC3=O
Asimilobin,Did not work
Asimilobine,COc1c(O)cc2CCN[C@@H]3Cc4ccccc4c1c23
Asparagamine A,Did not work
Asparagin,N[C@@H](CC(N)=O)C(O)=O
Asparagine,N[C@@H](CC(N)=O)C(O)=O
Asparagoside A,C[C@H]1CC[C@@]2(OC1)O[C@H]3C[C@H]4[C@@H]5CC[C@@H]6C[C@H](CC[C@]6(C)[C@H]5CC[C@]4(C)[C@H]3[C@@H]2C)O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O
Asparagoside E,Did not work
Asparagusic acid,OC(=O)C1CSSC1
Asparagusic acid anti-S-oxide,Did not work
Asparagusic acid syn-S-oxide,Did not work
Aspartate acid,Did not work
Asperuloside,CC(=O)OCC1=CC2OC(=O)C3=COC(OC4OC(CO)C(O)C(O)C4O)C1C23
Asperulosidic acid,CC(=O)OCC1=C[C@H](O)[C@H]2[C@@H]1[C@@H](OC=C2C(O)=O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O
Aspidinol,CCCC(=O)c1c(O)cc(OC)c(C)c1O
Astilbin,CC1OC(OC2C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)c(O)c4)C(O)C(O)C1O
Astragalan,Did not work
Astragalin,OC[C@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]1O
Astragalosides  I,Did not work
Astragalosides  II,Did not work
Astragalosides  III,Did not work
Astragalosides  IV,Did not work
Astragalosides  IX,Did not work
Astragalosides  V,Did not work
Astragalosides  VI,Did not work
Astragalosides  VII,Did not work
Astragalosides  VIII,Did not work
Astragalosides  X,Did not work
Astraglucan Amem-P,Did not work
Atropenin,Did not work
Atropin,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3
Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3
Aubergenone,Did not work
Aucubin,OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@H](O)C=C(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O
Aucuparin,COc1cc(cc(OC)c1O)c2ccccc2
Aurantiamide,Did not work
Aurantio -Obtusin,Did not work
Aurasperone D,COc1cc(O)c2c(O)c3C(=O)C=C(C)Oc3c(c2c1)c4c(OC)cc5cc6OC(=CC(=O)c6c(O)c5c4OC)C
Aureusidin,Oc1cc(O)c2C(=O)\C(Oc2c1)=C\c3ccc(O)c(O)c3
Aureusidin 6-rhamnoside,Did not work
Australone A,Did not work
Austrofolin,Did not work
Avenacin A-1,CNc1ccccc1C(=O)O[C@H]2C[C@]3(C)[C@@H](O)C[C@@]4(C)[C@]5(C)CC[C@H]6[C@](C)(CO)[C@H](CC[C@]6(C)[C@H]5C[C@H]7O[C@@]47[C@@H]3C[C@@]2(C)C=O)O[C@@H]8OC[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O
Avenacin B-2,CC1(C)[C@H](CC[C@@]2(C)[C@H]1CC[C@]3(C)[C@@H]2C[C@H]4O[C@]45[C@@H]6C[C@@](C)(C=O)[C@H](C[C@]6(C)[C@@H](O)C[C@@]35C)OC(=O)c7ccccc7)O[C@@H]8OC[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O
Avenacoside A,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@H]3CC[C@]4(C)[C@H]5CC[C@@]6(C)[C@@H](C[C@@H]7O[C@]8(CC[C@@](C)(CO[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)O8)[C@@H](C)[C@H]67)[C@@H]5CC=C4C3)[C@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O
Avenacoside B,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@H]3CC[C@]4(C)[C@H]5CC[C@@]6(C)[C@@H](C[C@@H]7O[C@]8(CC[C@@](C)(CO[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)O8)[C@@H](C)[C@H]67)[C@@H]5CC=C4C3)[C@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O[C@@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@H]%10O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O
Avenanthramide A,OC(=O)c1cc(O)ccc1NC(=O)/C=C/c2ccc(O)cc2
Avicennone A,Did not work
Avicennone B,Did not work
Avicennone C,Did not work
Avicennone D,Did not work
Avicennone F,Did not work
Avicennone G,Did not work
Avicenol A,Did not work
Avicenol B,Did not work
Avicenol C,Did not work
Avicequinone A,Did not work
Avicequinone B,Did not work
Avicequinone C,Did not work
Avicularin,OC[C@@H]1O[C@@H](OC2=C(Oc3cc(O)cc(O)c3C2=O)c4ccc(O)c(O)c4)[C@H](O)[C@H]1O
Avisprin,Did not work
Awobanin,Did not work
Axillarin 5-alpha-L-arabinosyl-(1->6)-glucoside,Did not work
Ayanin,COc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc(OC)c(O)c3)OC
Ayapin,O=C1Oc2cc3OCOc3cc2C=C1
Azadirachtin A,COC(=O)[C@@]1(O)OC[C@@]23[C@H](C[C@@H](OC(C)=O)[C@]4(CO[C@@H]([C@@H](O)[C@](C)([C@H]12)[C@]56O[C@@]5(C)[C@H]7C[C@@H]6O[C@@H]8OC=C[C@]78O)[C@H]34)C(=O)OC)OC(=O)C(/C)=C/C
Azadiradione,CC(=O)OC1CC2C(C)(C)C(=O)C=C[C@]2(C)C3CCC4(C)C(C(=O)C=C4[C@]13C)c5cocc5
Azadirone,Did not work
Azaleatin,COc1cc(O)cc2OC(=C(O)C(=O)c12)c3ccc(O)c(O)c3
Azaleatin 3-galactoside,Did not work
b,Did not work
b - Amyrin,Did not work
b - Sitosterol,Did not work
b Ergosterol,Did not work
b Sitosterol,Did not work
b- Sitosterol,Did not work
b-Aescin ,Did not work
b-Amyrin,Did not work
b-Cadinene,Did not work
b-Caryophyllene,Did not work
b-Myrcene,Did not work
b-Pinene,Did not work
b-Sitosterol ,Did not work
Bacopaside IV,Did not work
Bacopaside V,Did not work
Bafoudiosbulbin A,Did not work
Bafoudiosbulbin B,Did not work
Bafoudiosbulbin C,Did not work
Bafoudiosbulbin F,Did not work
Bafoudiosbulbin G,Did not work
Baicalein,Oc1cc2OC(=CC(=O)c2c(O)c1O)c3ccccc3
Baicalin ,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]([C@H]1O)C(O)=O)Oc2cc3OC(=CC(=O)c3c(O)c2O)c4ccccc4
Baliospermin,CCCCCCCCCCCC(=O)O[C@@]12C[C@@H](C)[C@@]3(O)[C@@H]([C@@H]4O[C@]4(CO)[C@@H](O)[C@@]5(O)[C@H]3C=C(C)C5=O)[C@@H]1C2(C)C
Ballotetroside,Did not work
Balsaminasterol,Did not work
Bannamurpanisin,COc1cc(OC)c2C(=O)C=C(Oc2c1OC)c3cc(OC)c(OC)c(OC)c3
Barbaloin,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)[C@@H]2c3cccc(O)c3C(=O)c4c(O)cc(CO)cc24
Barbinervic acid,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2[C@]1(C)O)C(O)=O
Barlerin,Did not work
Barringtogenol C,CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@@H](O)[C@@]2(CO)[C@@H](O)[C@@H]1O
Bartogenic acid,Did not work
Basellasaponin A,Did not work
Basellasaponin B,Did not work
Basellasaponin C,Did not work
Basellasaponin D,Did not work
Batatasin I,COc1cc(OC)c2c(ccc3cc(OC)c(O)cc23)c1
Batatasin II,Did not work
Batatasin III,Did not work
Batatasin IV,COc1cc(O)cc(CCc2ccccc2O)c1
Batatic acid,Did not work
Bauerenol,CC1CCC2(C)CCC3(C)C4=CCC5C(C)(C)C(O)CCC5(C)C4CCC3(C)C2C1C
Bauhiniastatin 1,COC1=C(C)C(=O)C2=C(C=Cc3c(O)cccc3O2)C1=O
Bauhiniastatin 2,COc1c(C)c(O)c2Oc3cccc(O)c3C=Cc2c1OC
Bauhiniastatin 3,COc1cc2C=Cc3c(OC)ccc(O)c3Oc2c(O)c1C
Bauhiniastatin 4,COc1c(C)c(O)cc2C=Cc3c(O)cccc3Oc12
Bavachin,CC(C)=CCc1cc2C(=O)CC(Oc2cc1O)c3ccc(O)cc3
Behenic ,Did not work
Behenic Acid,CCCCCCCCCCCCCCCCCCCCCC(O)=O
Belamcandin,Did not work
Belladine,COc1ccc(CCN(C)Cc2ccc(OC)c(OC)c2)cc1
Bellidifolin,COc1cc(O)c2C(=O)c3c(O)ccc(O)c3Oc2c1
Benzaldehyde,O=Cc1ccccc1
Benzene acetonitrile,CC#N.c1ccccc1
Benzeneacetaldehyde,O=CCc1ccccc1
Benzoic acid,OC(=O)c1ccccc1
Benzyl alcohol,OCc1ccccc1
Benzyl beta-D-glucopyranoside,OC[C@H]1O[C@@H](OCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
Benzylglucosinolate,OC[C@H]1O[C@@H](SC(/Cc2ccccc2)=N/O[S]([O-])(=O)=O)[C@H](O)[C@@H](O)[C@@H]1O
Berberastine,COc1ccc2cc3c4cc5OCOc5cc4C(O)C[n+]3cc2c1OC
Berberastine(1%),Did not work
Berberine,COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC
Berberine(4-8%),Did not work
Berberine(5-7%),Did not work
Berberine(7-9%),Did not work
Berberrubine,COC1=CC=C2C=C3N(CCc4cc5OCOc5cc34)C=C2C1=O
Bergaptan,COc1c2ccoc2cc3OC(=O)C=Cc13
Bergapten,COc1c2ccoc2cc3OC(=O)C=Cc13
Bergenin,COc1c(O)cc2C(=O)O[C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3c2c1O
Berlambine,COc1ccc2C=C3N(CCc4cc5OCOc5cc34)C(=O)c2c1OC
Besi,Did not work
Beta -Caryphyllene,Did not work
Beta Carotene,Did not work
Beta Karoten,Did not work
Beta sitosterol,Did not work
Beta Sitosterol Glucoside,Did not work
beta-Allamcidin,Did not work
beta-Allamcidin glucoside,Did not work
beta-Amyrin,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1
beta-Amyrin acetate,CC(=O)O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4C5CC(C)(C)CC[C@]5(C)CCC34C)C1(C)C
beta-Amyrine,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)C2C1
beta-Amyrone,Did not work
beta-Asarone,COc1cc(OC)c(\C=C/C)cc1OC
beta-Bisabolene,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
beta-Cannabispiranol,COc1cc(O)c2c(CCC23CCC(O)CC3)c1
beta-Carotene,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)CCCC2(C)C)C(C)(C)CCC1
"beta-Carotene 5,6-epoxide",CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C23OC2(C)CCCC3(C)C)C(C)(C)CCC1
beta-Caryophyllene,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
beta-Caryophyllene alcohol,CC1(C)CC2C1CCC3(C)CCCC2(O)C3
beta-Chaconine,C[C@H]1CC[C@@H]2[C@@H](C)[C@H]3[C@H](C[C@H]4[C@@H]5CC=C6C[C@H](CC[C@]6(C)[C@H]5CC[C@]34C)O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)N2C1
beta-Citraurin,Did not work
